Date Of Stop	Time Of Stop	SubAgency	Location	Year	Color	Race	Gender	Geolocation	Label
04/19/2018	05:36:00	2nd district, Bethesda	US 270 AT 370	2014	SILVER	OTHER	M	(10.0407433333333, -151.255986666667)	1
04/19/2018	05:36:00	2nd district, Bethesda	US 270 AT 370	2014	SILVER	OTHER	M	(10.0407433333333, -151.255986666667)	1
02/24/2018	19:24:00	6th district, Gaithersburg / Montgomery Village	QUINCE ORCHARD / 270	2014	GRAY	BLACK	M	(18.0605983333333, -120.38467)	1
10/10/2015	13:25:00	Headquarters and Special Operations	NEW HAMPSHIRE AVE/VENICE DRIVE	2003	WHITE	OTHER	F	(35.04941, -77.63827)	1
09/26/2013	01:14:00	6th district, Gaithersburg / Montgomery Village	MVA/CENTERWAY	2013	BLACK	BLACK	M	(37.0383713333333, -78.2842922333333)	1
04/15/2017	17:25:00	4th district, Wheaton	14031 GEORGIA AVE	2014	SILVER	OTHER	M	(37.3363483333333, -75.973145)	1
09/16/2015	22:57:00	3rd district, Silver Spring	GEORGIA AVE/SLIGO AVE	2003	SILVER	BLACK	M	(37.6535216666667, -77.3288633333333)	1
09/16/2015	23:18:00	3rd district, Silver Spring	FENTON ST/SILVER SPRING AVE	1996	GRAY	BLACK	M	(37.6535216666667, -77.3288633333333)	1
09/16/2015	23:18:00	3rd district, Silver Spring	FENTON ST/SILVER SPRING AVE	1996	GRAY	BLACK	M	(37.6535216666667, -77.3288633333333)	1
09/16/2015	23:18:00	3rd district, Silver Spring	FENTON ST/SILVER SPRING AVE	1996	GRAY	BLACK	M	(37.6535216666667, -77.3288633333333)	1
12/26/2013	20:51:00	6th district, Gaithersburg / Montgomery Village	CHRISTOPHER/HELINGLY	1996	SILVER	WHITE	M	(38.0518591666667, -81.06322925)	1
12/26/2013	20:51:00	6th district, Gaithersburg / Montgomery Village	CHRISTOPHER/HELINGLY	1996	SILVER	WHITE	M	(38.0518591666667, -81.06322925)	1
12/26/2013	20:51:00	6th district, Gaithersburg / Montgomery Village	CHRISTOPHER/HELINGLY	1996	SILVER	WHITE	M	(38.0518591666667, -81.06322925)	1
12/26/2013	20:51:00	6th district, Gaithersburg / Montgomery Village	CHRISTOPHER/HELINGLY	1996	SILVER	WHITE	M	(38.0518591666667, -81.06322925)	1
12/26/2013	20:51:00	6th district, Gaithersburg / Montgomery Village	CHRISTOPHER/HELINGLY	1996	SILVER	WHITE	M	(38.0518591666667, -81.06322925)	1
09/09/2013	12:20:00	1st district, Rockville	RT 355@ REDLAND RD	2000	BROWN	WHITE	M	(38.2416611333333, -76.9960184166667)	1
09/03/2013	21:40:00	6th district, Gaithersburg / Montgomery Village	355/MVA	1991	BLACK	BLACK	M	(38.25488745, -79.3016450833333)	1
